Year,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole
2014,Nevada,0.296,0.293,0.252,552546,547349,1867644,2173640,0.129,12537,12027,5927
2014,New Hampshire,0.483,0.476,0.46,495565,488159,1025862,1061054,0.03,2867,0,0
2014,New Jersey,0.325,0.311,0.27,1955042,1869535,6014127,6936661,0.119,20255,115898,14889
2014,New Mexico,,0.354,0.323,,512805,1449503,1586442,0.075,6879,16060,2255
2014,New York,0.29,0.282,0.246,3930310,3819010,13553426,15544111,0.122,48376,0,44889
2014,North Carolina,0.412,0.408,0.379,2939767,2915281,7143737,7693406,0.059,35726,90918,10025
2014,North Dakota,0.45,0.438,0.427,255128,248670,567221,582205,0.023,1700,0,0
2014,Ohio,0.362,0.351,0.341,3149876,3055913,8701243,8969074,0.024,51024,0,0
2014,Oklahoma,0.3,0.299,0.281,825607,824831,2755091,2940437,0.047,27650,28568,2560
2014,Oregon,0.534,0.509,0.472,1541782,1469717,2887517,3115883,0.068,15075,0,0
2014,Pennsylvania,0.365,0.361,0.346,3535576,3495866,9689491,10100271,0.036,49643,0,0
2014,Rhode Island,0.424,0.417,0.385,329212,324055,776286,842605,0.075,3294,0,0
2014,South Carolina,0.352,0.348,0.331,1261611,1246301,3584461,3760480,0.035,20917,35096,5225
2014,South Dakota,0.447,0.443,0.431,282291,279412,630989,647810,0.016,3528,0,2611
2014,Tennessee,0.298,0.286,0.272,1430117,1374065,4799476,5060636,0.036,28495,62950,13498
2014,Texas,,0.283,0.238,,4727208,16675420,19847831,0.135,157361,388101,111412
2014,Utah,0.303,0.297,0.275,577973,565970,1905801,2054936,0.069,6824,0,0
2014,Vermont,0.408,0.389,0.381,202445,193087,495884,507304,0.023,0,0,0
2014,Virginia,0.368,0.366,0.337,2194346,2184473,5962456,6489957,0.071,36943,54966,1732
2014,Washington,0.431,0.412,0.371,2123901,2029189,4928407,5467270,0.084,17345,94112,9880
2014,West Virginia,0.32,0.312,0.307,462864,451498,1447652,1472594,0.008,6873,7174,2749
2014,Wisconsin,0.569,0.566,0.539,2422248,2410314,4260427,4470265,0.032,22097,46212,20010
2014,Wyoming,0.397,0.39,0.373,171153,168390,431434,451484,0.031,2330,5196,715
2012,Alabama,,0.586,0.56,,2074338,3539217,3707440,0.026,32232,57993,8616
2012,Alaska,0.589,0.587,0.553,301694,300495,511792,543763,0.038,5633,7173,1882
2012,Arizona,0.53,0.526,0.465,2323579,2306559,4387900,4959270,0.099,35188,72452,7460
2012,Arkansas,0.511,0.507,0.477,1078548,1069468,2109847,2242740,0.035,14471,30122,23372
2012,California,0.557,0.551,0.451,13202158,13038547,23681837,28913129,0.174,119455,0,89287
2012,Colorado,0.706,0.699,0.645,2596173,2569522,3675871,3981208,0.069,18807,0,11458
2012,Connecticut,0.614,0.613,0.556,1560640,1558960,2543202,2801375,0.085,16935,0,2793
2012,Delaware,,0.623,0.578,,413921,663967,715708,0.051,6610,15641,601
2012,District of Columbia,0.616,0.615,0.555,294254,293764,477582,528848,0.097,0,0,0
2012,Florida,0.633,0.628,0.551,8538264,8474179,13495057,15380947,0.108,91954,240869,4538
2012,Georgia,0.593,0.59,0.523,3919355,3900050,6606607,7452696,0.072,52737,442061,24761
2012,Hawaii,0.445,0.442,0.399,437159,434697,982902,1088335,0.092,5544,0,0
2012,Idaho,0.61,0.598,0.556,666290,652274,1091410,1173727,0.046,7985,31606,3848
2012,Illinois,0.593,0.589,0.533,5279752,5242014,8899143,9827043,0.089,49348,0,0
2012,Indiana,0.56,0.552,0.529,2663368,2624534,4755291,4960376,0.036,28266,0,0
2012,Iowa,0.706,0.703,0.671,1589951,1582180,2251748,2356209,0.032,8470,29333,5151
2012,Kansas,0.582,0.569,0.535,1182771,1156254,2030686,2162442,0.05,9346,17021,5126
2012,Kentucky,0.562,0.557,0.534,1815843,1797212,3229185,3368684,0.022,21863,54511,14419
2012,Louisiana,0.608,0.602,0.57,2014548,1994065,3311626,3495847,0.027,40047,41298,28946
2012,Maine,0.693,0.682,0.67,724758,713180,1046008,1064779,0.018,0,0,0
2012,Maryland,0.673,0.666,0.595,2734062,2707327,4063582,4553853,0.089,20871,96640,13195
2012,Massachusetts,0.662,0.659,0.602,3184196,3167767,4809675,5263550,0.084,10283,0,0
2012,Michigan,0.654,0.647,0.62,4780701,4730961,7312725,7625576,0.035,43019,0,0
2012,Minnesota,0.764,0.76,0.714,2950780,2936561,3861598,4114820,0.044,9383,108157,6006
2012,Mississippi,,0.593,0.572,,1285584,2166825,2246931,0.015,22305,30768,6804
2012,Missouri,,0.622,0.596,,2757323,4432957,4628500,0.025,30714,55470,20672
2012,Montana,0.635,0.625,0.616,491966,484048,774476,785454,0.009,3592,0,0
2012,Nebraska,0.611,0.603,0.569,804245,794379,1316915,1396507,0.047,4466,14260,1383
2012,Nevada,0.565,0.564,0.482,1016664,1014918,1800969,2105976,0.133,12883,11321,5379
2012,New Hampshire,0.709,0.702,0.678,718700,710972,1013420,1047978,0.03,2672,0,0
2012,New Jersey,0.622,0.615,0.532,3683638,3640292,5918182,6847503,0.121,21759,114886,14987
2012,New Mexico,0.548,0.546,0.498,786522,783757,1436363,1573400,0.073,6553,21381,5078
2012,New York,0.535,0.531,0.461,7128852,7074723,13324107,15344671,0.125,49889,0,46222
2012,North Carolina,0.654,0.648,0.601,4542488,4505372,6947954,7496980,0.061,35567,96070,4359
2012,North Dakota,0.604,0.598,0.587,325564,322627,539164,549955,0.017,1500,0,0
2012,Ohio,0.651,0.645,0.627,5632423,5580822,8649495,8896930,0.022,50313,0,0
2012,Oklahoma,,0.492,0.463,,1334872,2713268,2885093,0.045,25225,25506,2310
2012,Oregon,0.642,0.631,0.587,1820507,1789270,2836101,3050747,0.066,13607,0,0
2012,Pennsylvania,,0.595,0.572,,5742040,9651432,10037099,0.033,50054,0,0
2012,Rhode Island,,0.58,0.534,,446049,768918,834983,0.075,3249,0,0
2012,South Carolina,0.568,0.563,0.536,1981516,1964118,3486838,3662322,0.035,21895,34945,6116
2012,South Dakota,0.601,0.593,0.576,368270,363815,613190,631472,0.019,3574,0,2761
2012,Tennessee,0.523,0.519,0.494,2478870,2458577,4736084,4976284,0.033,28135,64430,13138
2012,Texas,,0.496,0.417,,7993851,16119973,19185395,0.135,157564,405473,112288
2012,Utah,0.561,0.555,0.514,1028786,1017440,1833339,1978956,0.07,6611,0,0
2012,Vermont,0.612,0.607,0.596,301793,299290,493355,502242,0.018,0,0,0
2012,Virginia,0.666,0.661,0.607,3888186,3854489,5834676,6348827,0.071,36425,52956,1983
2012,Washington,0.658,0.648,0.586,3172939,3125516,4822060,5329782,0.082,16355,88339,8895
2012,West Virginia,,0.463,0.455,,670438,1447066,1472642,0.008,7052,8573,2052
2012,Wisconsin,,0.729,0.695,,3068434,4209370,4417273,0.032,21987,46328,20023
2012,Wyoming,0.59,0.586,0.564,250701,249061,425142,441726,0.025,2163,5162,762
2010,Alabama,0.433,0.43,0.408,1503232,1494273,3472582,3661784,0.028,31587,50622,9006
2010,Alaska,0.529,0.519,0.485,261128,256192,493764,528744,0.04,5576,6959,2089
2010,Arizona,0.416,0.41,0.359,1750840,1727791,4209544,4807398,0.103,35368,52316,7993
2010,Arkansas,0.379,0.375,0.353,789773,781333,2081156,2216171,0.037,16047,26995,21106
2010,California,0.459,0.44,0.358,10529134,10095485,22946053,28167234,0.177,146412,0,105133
2010,Colorado,0.517,0.506,0.465,1828323,1787730,3533054,3843619,0.073,21559,0,11014
2010,Connecticut,0.459,0.459,0.417,1153872,1153115,2512981,2765843,0.084,18553,0,2894
2010,Delaware,0.49,0.475,0.441,316754,307402,646969,696940,0.055,6307,4448,560
2010,District of Columbia,0.296,0.289,0.262,135846,132656,458619,506765,0.095,0,0,0
2010,Florida,0.422,0.417,0.363,5473787,5411106,12961184,14916066,0.112,97944,165760,4093
2010,Georgia,0.406,0.398,0.355,2623035,2576161,6464845,7255919,0.074,54710,185286,25091
2010,Hawaii,0.403,0.399,0.36,386302,382563,959531,1062593,0.091,5813,0,0
2010,Idaho,0.429,0.423,0.394,459079,452535,1069446,1147210,0.047,7268,13721,3957
2010,Illinois,0.431,0.424,0.383,3792770,3729989,8798829,9735944,0.091,46314,0,0
2010,Indiana,0.381,0.371,0.356,1791832,1744481,4697111,4896656,0.035,27481,0,0
2010,Iowa,0.507,0.499,0.479,1133429,1116063,2234516,2328262,0.032,9276,8862,3197
2010,Kansas,0.426,0.417,0.392,857658,838790,2011497,2137815,0.052,8741,3704,5063
2010,Kentucky,0.443,0.424,0.407,1417995,1356468,3198093,3332204,0.024,20385,25688,14628
2010,Louisiana,0.4,0.389,0.368,1298649,1264994,3249524,3438247,0.027,39335,42599,26202
2010,Maine,0.559,0.552,0.543,580584,572766,1038201,1055605,0.016,0,0,0
2010,Maryland,0.467,0.464,0.418,1868179,1857880,4001034,4449617,0.088,21992,26164,13195
2010,Massachusetts,0.494,0.489,0.446,2319963,2297039,4693670,5152976,0.087,10429,0,0
2010,Michigan,0.451,0.445,0.427,3268217,3226088,7245281,7555742,0.035,43499,0,0
2010,Minnesota,0.558,0.554,0.521,2123369,2107021,3802677,4041199,0.045,9281,42661,5807
2010,Mississippi,,0.37,0.355,,788549,2129334,2220094,0.018,21067,26793,6434
2010,Missouri,0.457,0.445,0.424,1997271,1943899,4366435,4581260,0.026,30178,54916,19421
2010,Montana,0.484,0.475,0.468,367096,360341,758653,770601,0.011,3706,0,0
2010,Nebraska,0.387,0.375,0.355,503514,487988,1301483,1375023,0.047,4324,4080,941
2010,Nevada,0.414,0.413,0.353,723515,721404,1747288,2046400,0.135,12653,8067,4964
2010,New Hampshire,0.461,0.457,0.442,461423,456588,999918,1033023,0.029,2694,0,0
2010,New Jersey,0.377,0.364,0.314,2200974,2121584,5834037,6750869,0.122,25007,57517,15563
2010,New Mexico,0.447,0.428,0.388,630013,602827,1408872,1552212,0.077,6541,14855,3146
2010,New York,0.363,0.355,0.308,4763899,4658586,13135048,15111583,0.125,50668,0,48542
2010,North Carolina,0.398,0.392,0.364,2700706,2660079,6785463,7310093,0.061,38341,36740,3621
2010,North Dakota,0.466,0.462,0.453,241039,238812,516974,527497,0.017,1480,0,0
2010,Ohio,0.462,0.449,0.436,3956028,3852453,8571952,8826908,0.023,51116,0,0
2010,Oklahoma,0.391,0.388,0.364,1043507,1034767,2666767,2839030,0.044,25893,20601,2627
2010,Oregon,0.539,0.527,0.487,1487210,1453548,2760607,2984806,0.07,12262,0,0
2010,Pennsylvania,0.424,0.417,0.401,4055336,3987551,9565822,9946290,0.033,50116,0,0
2010,Rhode Island,0.454,0.448,0.412,346357,342290,763534,829913,0.076,3357,0,0
2010,South Carolina,0.403,0.397,0.376,1365480,1344198,3388417,3571250,0.038,23074,21144,6412
2010,South Dakota,0.539,0.529,0.515,323410,317083,599507,616113,0.019,3373,0,2843
2010,Tennessee,0.351,0.346,0.328,1620619,1601549,4622919,4878724,0.035,27213,52178,12157
2010,Texas,0.327,0.321,0.269,5066957,4979870,15514007,18487369,0.135,164507,247136,104763
2010,Utah,0.368,0.363,0.336,653274,643307,1772934,1914974,0.07,6536,0,0
2010,Vermont,0.498,0.494,0.485,243617,241605,488942,498254,0.019,0,0,0
2010,Virginia,0.391,0.387,0.354,2214505,2189841,5660589,6194717,0.071,36020,56654,2624
2010,Washington,0.543,0.532,0.484,2565589,2511094,4724350,5190736,0.083,17331,15452,6956
2010,West Virginia,0.372,0.368,0.361,536493,529948,1442003,1468812,0.009,6673,6650,1796
2010,Wisconsin,0.524,0.52,0.497,2185021,2171331,4172130,4365214,0.032,22724,22602,19572
2010,Wyoming,0.46,0.455,0.438,190822,188463,414536,430673,0.024,2059,3231,682
2008,Alabama,0.61,0.608,0.584,2105622,2099819,3454510,3595708,0.022,30508,53252,8042
2008,Alaska,0.683,0.68,0.643,327341,326197,479429,507645,0.037,5014,6708,1732
2008,Arizona,0.574,0.567,0.491,2320851,2293475,4046075,4673718,0.116,39589,82232,7534
2008,Arkansas,0.529,0.525,0.5,1095958,1086617,2071563,2174846,0.029,14716,31169,19908
2008,California,0.617,0.609,0.495,13743177,13561900,22261504,27411094,0.179,173670,0,120753
2008,Colorado,0.716,0.71,0.647,2422236,2401361,3382959,3708955,0.08,23274,0,11654
2008,Connecticut,,0.666,0.604,,1646792,2471082,2725917,0.085,20661,0,2328
2008,Delaware,0.658,0.656,0.606,413562,412398,628200,680493,0.053,7075,17216,551
2008,District of Columbia,0.617,0.615,0.552,266871,265853,432566,481971,0.103,0,0,0
2008,Florida,0.666,0.661,0.576,8453743,8390744,12687407,14558436,0.112,102388,279760,4528
2008,Georgia,0.627,0.625,0.556,3940705,3924440,6281872,7063638,0.073,52719,397081,23448
2008,Hawaii,0.49,0.488,0.438,456064,453568,930067,1036088,0.097,5955,0,0
2008,Idaho,0.648,0.636,0.586,667506,655032,1029416,1117842,0.049,7290,49513,3361
2008,Illinois,0.643,0.636,0.574,5578195,5523051,8681138,9615700,0.092,45474,0,0
2008,Indiana,0.603,0.591,0.57,2805986,2751054,4653019,4826231,0.03,28322,0,0
2008,Iowa,0.697,0.694,0.669,1543662,1537123,2216094,2298515,0.026,8766,22958,3159
2008,Kansas,0.635,0.62,0.588,1264208,1235872,1991759,2100084,0.042,8539,16263,4958
2008,Kentucky,0.59,0.579,0.557,1858578,1826508,3152629,3277617,0.022,21706,51035,12277
2008,Louisiana,0.618,0.612,0.587,1979852,1960761,3205794,3342279,0.02,38381,40025,24636
2008,Maine,0.718,0.706,0.696,744456,731163,1036242,1049816,0.013,0,0,0
2008,Maryland,0.678,0.67,0.606,2661905,2631596,3925117,4342850,0.078,23324,96360,13220
2008,Massachusetts,0.673,0.668,0.609,3102995,3080985,4612550,5058035,0.086,11408,0,0
2008,Michigan,0.697,0.692,0.664,5039080,5001766,7229512,7528460,0.033,48738,0,0
2008,Minnesota,0.781,0.778,0.732,2921147,2910369,3740142,3975974,0.04,9910,127627,5081
2008,Mississippi,,0.61,0.589,,1289856,2113347,2190402,0.019,22754,22267,2922
2008,Missouri,0.682,0.676,0.649,2950504,2925205,4327572,4507688,0.025,30186,57360,20683
2008,Montana,0.671,0.663,0.651,497599,491960,741853,755384,0.013,3545,0,0
2008,Nebraska,0.637,0.629,0.594,811923,801281,1274719,1348048,0.043,4520,19606,846
2008,Nevada,0.572,0.57,0.484,970019,967848,1696831,2000277,0.141,12743,13337,3908
2008,New Hampshire,0.725,0.717,0.696,719643,710970,992226,1021787,0.026,2702,0,0
2008,New Jersey,0.677,0.67,0.582,3910220,3868237,5776527,6651284,0.117,25953,128737,15849
2008,New Mexico,0.612,0.609,0.551,833365,830158,1362629,1505830,0.083,6402,20883,3724
2008,New York,0.596,0.59,0.514,7721718,7640640,12948969,14876971,0.124,60347,0,52225
2008,North Carolina,0.661,0.655,0.607,4354571,4310789,6584302,7096503,0.059,39482,109678,3409
2008,North Dakota,0.636,0.627,0.617,321133,316621,504762,512768,0.013,1452,0,0
2008,Ohio,0.678,0.669,0.651,5773777,5698260,8513079,8757453,0.022,51686,0,0
2008,Oklahoma,0.563,0.558,0.528,1474694,1462661,2619121,2770219,0.04,25864,27940,3073
2008,Oregon,0.683,0.677,0.627,1845251,1827864,2700327,2916246,0.069,14167,0,0
2008,Pennsylvania,0.642,0.636,0.613,6071357,6012692,9457942,9813664,0.031,49215,0,0
2008,Rhode Island,0.623,0.618,0.571,475428,471766,763608,825786,0.07,4045,0,0
2008,South Carolina,0.582,0.58,0.553,1927153,1920969,3311044,3473488,0.034,24326,41254,1947
2008,South Dakota,0.656,0.647,0.634,387449,381975,590720,602539,0.012,3342,0,2720
2008,Tennessee,0.574,0.57,0.545,2618238,2599749,4563192,4771926,0.031,27228,58109,10578
2008,Texas,,0.541,0.455,,8077795,14929810,17756112,0.135,172506,427080,102921
2008,Utah,0.571,0.56,0.518,971185,952370,1700286,1840087,0.072,6552,0,0
2008,Vermont,0.677,0.673,0.66,326822,325046,482677,492610,0.02,0,0,0
2008,Virginia,0.676,0.67,0.618,3753059,3723260,5555415,6022123,0.066,38276,53614,4471
2008,Washington,0.673,0.666,0.603,3071587,3036878,4561163,5032960,0.078,17926,113134,11768
2008,West Virginia,0.512,0.499,0.491,731691,713362,1430439,1453045,0.008,6059,8283,2005
2008,Wisconsin,0.727,0.724,0.693,2997086,2983417,4120694,4306876,0.03,23379,50418,18105
2008,Wyoming,0.631,0.628,0.609,256035,254658,405732,418040,0.017,2084,5438,727
2006,Alabama,,0.375,0.359,,1250401,3338467,3513952,0.023,28241,55766,7795
2006,Alaska,0.512,0.51,0.478,238307,237322,465169,492452,0.045,5069,6095,973
2006,Arizona,0.396,0.389,0.333,1553032,1526782,3923786,4490327,0.126,35892,73265,6213
2006,Arkansas,0.389,0.387,0.364,780409,774680,2004193,2130080,0.033,13729,31508,16666
2006,California,0.412,0.402,0.322,8899059,8679416,21582217,26739781,0.189,175512,0,111744
2006,Colorado,0.481,0.473,0.431,1586105,1558405,3297308,3569901,0.08,22481,0,8196
2006,Connecticut,0.477,0.466,0.425,1162391,1134780,2437559,2683538,0.079,20566,0,2571
2006,Delaware,0.429,0.423,0.39,258053,254099,601341,659410,0.053,7206,16958,600
2006,District of Columbia,0.287,0.283,0.255,122356,120620,426612,466827,0.097,0,0,0
2006,Florida,0.401,0.396,0.343,4884544,4829270,12187858,14211669,0.118,92969,272977,4785
2006,Georgia,0.351,0.347,0.307,2143845,2122258,6115331,6799654,0.074,52792,422790,22851
2006,Hawaii,0.384,0.379,0.346,348988,344315,908925,1012975,0.081,5967,0,0
2006,Idaho,0.462,0.454,0.42,458927,450832,993010,1072895,0.044,7124,48609,2482
2006,Illinois,0.414,0.402,0.363,3586292,3486671,8667453,9483856,0.092,45106,0,0
2006,Indiana,0.377,0.366,0.352,1719351,1666922,4559294,4743856,0.031,26091,0,0
2006,Iowa,0.492,0.481,0.463,1071509,1048033,2178322,2267991,0.028,8875,22622,3560
2006,Kansas,0.443,0.436,0.411,864083,849700,1948850,2062668,0.047,8816,15518,4666
2006,Kentucky,0.442,0.404,0.39,1370062,1253526,3100828,3218000,0.019,20000,41162,10162
2006,Louisiana,0.314,0.297,0.283,954896,902498,3043573,3239317,0.02,37012,38057,24072
2006,Maine,,0.542,0.533,,550865,1016287,1037200,0.017,0,0,0
2006,Maryland,0.472,0.467,0.422,1809237,1788316,3833349,4261205,0.079,22945,75698,14271
2006,Massachusetts,0.493,0.488,0.444,2243835,2219779,4552794,4970780,0.087,11032,0,0
2006,Michigan,0.528,0.521,0.499,3852008,3801256,7292624,7532918,0.036,51577,0,0
2006,Minnesota,0.605,0.601,0.564,2217552,2202987,3667707,3896561,0.042,9108,127289,4007
2006,Mississippi,,0.294,0.285,,610921,2077420,2154112,0.013,21068,24107,1970
2006,Missouri,0.512,0.5,0.481,2178278,2128459,4253541,4427266,0.022,30167,54963,18374
2006,Montana,0.571,0.564,0.556,411061,406505,720447,734669,0.01,3572,0,0
2006,Nebraska,0.488,0.476,0.451,610499,596087,1251027,1325932,0.043,4407,18731,662
2006,Nevada,0.371,0.369,0.311,586274,582572,1579222,1907976,0.144,12901,13208,3518
2006,New Hampshire,0.429,0.414,0.399,418550,403531,975281,1006234,0.034,2805,0,0
2006,New Jersey,0.406,0.395,0.341,2315643,2250070,5701033,6565183,0.12,27371,132636,13874
2006,New Mexico,0.431,0.425,0.386,568597,561084,1320285,1464560,0.08,6639,16493,2831
2006,New York,0.365,0.349,0.303,4703830,4490053,12878632,14665626,0.124,63315,0,53533
2006,North Carolina,0.325,0.31,0.287,2036451,1940808,6264630,6799585,0.058,37460,110419,3101
2006,North Dakota,0.454,0.449,0.441,220479,218152,486142,503647,0.015,1363,0,0
2006,Ohio,0.495,0.475,0.463,4184072,4022754,8461211,8687609,0.022,49166,0,0
2006,Oklahoma,,0.364,0.343,,926462,2547224,2709819,0.039,26243,27415,4329
2006,Oregon,0.532,0.525,0.484,1399650,1379475,2628937,2829482,0.073,13707,0,0
2006,Pennsylvania,,0.441,0.426,,4096077,9283762,9680466,0.03,44397,0,0
2006,Rhode Island,0.521,0.51,0.467,392882,384993,754219,824887,0.081,3996,0,0
2006,South Carolina,0.354,0.346,0.331,1117311,1091952,3152046,3332190,0.032,23616,38353,3072
2006,South Dakota,0.588,0.578,0.564,341105,335508,580592,589178,0.014,3359,0,2444
2006,Tennessee,0.421,0.414,0.395,1868363,1833695,4433921,4641909,0.031,25745,52558,8630
2006,Texas,,0.309,0.258,,4399068,14255313,17029802,0.134,172116,431967,101916
2006,Utah,0.35,0.343,0.318,582561,571252,1664323,1752158,0.071,6430,0,0
2006,Vermont,0.55,0.549,0.538,263025,262726,478247,487141,0.02,0,0,0
2006,Virginia,0.445,0.44,0.406,2398589,2370445,5385522,5867219,0.067,36688,48144,4499
2006,Washington,0.473,0.473,0.427,2085074,2083734,4403981,4861001,0.08,17561,108076,11568
2006,West Virginia,0.338,0.328,0.323,473014,459884,1401490,1439052,0.007,5733,7668,1416
2006,Wisconsin,0.537,0.532,0.508,2183155,2161700,4064432,4240696,0.029,23431,55806,15907
2006,Wyoming,0.518,0.511,0.494,196217,193892,379127,400187,0.02,2114,5225,609
2004,Alabama,0.574,0.572,0.552,1890317,1883415,3292608,3427542,0.019,26521,36795,7745
2004,Alaska,0.696,0.691,0.652,314502,312598,452124,476378,0.04,4515,5547,951
2004,Arizona,0.548,0.541,0.47,2038069,2012585,3717055,4215706,0.115,31631,69343,5671
2004,Arkansas,0.544,0.536,0.51,1070573,1054945,1969208,2072986,0.028,13477,29128,14844
2004,California,0.596,0.588,0.471,12589367,12421852,21132533,26246548,0.188,166053,0,110261
2004,Colorado,0.673,0.667,0.612,2148036,2129630,3192647,3443164,0.075,19756,0,7383
2004,Connecticut,0.662,0.65,0.597,1607808,1578769,2429634,2652587,0.073,20018,0,2552
2004,Delaware,0.645,0.642,0.594,377407,375190,584817,635370,0.047,6973,18725,539
2004,District of Columbia,0.549,0.543,0.489,230105,227586,419142,458758,0.1,0,0,0
2004,Florida,0.647,0.644,0.561,7640319,7609810,11811921,13643828,0.112,84733,281170,4888
2004,Georgia,0.564,0.562,0.5,3317336,3301875,5878186,6499325,0.068,48625,419350,23344
2004,Hawaii,0.485,0.482,0.441,431662,429013,889540,982882,0.079,5946,0,0
2004,Idaho,0.648,0.632,0.587,612786,598376,946160,1016255,0.041,6312,44580,2370
2004,Illinois,0.624,0.615,0.557,5350493,5274322,8576696,9391420,0.09,44379,0,0
2004,Indiana,0.558,0.548,0.53,2512142,2468002,4504260,4660157,0.027,23760,0,0
2004,Iowa,0.706,0.699,0.674,1521966,1506908,2156389,2239979,0.026,8611,22832,3317
2004,Kansas,0.629,0.616,0.583,1213108,1187756,1928764,2032763,0.043,9152,14309,4525
2004,Kentucky,0.594,0.587,0.569,1816867,1795860,3057741,3157464,0.017,17763,33286,8006
2004,Louisiana,0.615,0.611,0.585,1956590,1943106,3182762,3379937,0.018,36745,38470,24387
2004,Maine,0.749,0.738,0.726,751519,740752,1003792,1022043,0.016,0,0,0
2004,Maryland,0.631,0.629,0.572,2395791,2386705,3797264,4179376,0.072,23727,76676,14351
2004,Massachusetts,0.646,0.642,0.587,2927455,2912388,4533859,4935787,0.084,10365,0,0
2004,Michigan,0.671,0.666,0.639,4875692,4839252,7263024,7508568,0.034,48591,0,0
2004,Minnesota,0.788,0.784,0.739,2842912,2828387,3609185,3819020,0.039,8613,114226,3872
2004,Mississippi,,0.557,0.542,,1152365,2068766,2133681,0.012,20429,21324,1979
2004,Missouri,0.661,0.653,0.629,2764635,2731364,4180960,4339414,0.019,30775,53832,17400
2004,Montana,0.652,0.644,0.634,456096,450445,699114,711858,0.01,3800,0,0
2004,Nebraska,0.641,0.629,0.598,792906,778186,1236522,1305430,0.04,4042,17994,805
2004,Nevada,0.554,0.553,0.473,831563,829587,1501437,1776962,0.132,10971,12521,3610
2004,New Hampshire,0.715,0.709,0.684,683672,677738,956422,984422,0.032,2441,0,0
2004,New Jersey,0.642,0.638,0.552,3638153,3611691,5663201,6513394,0.117,28107,143315,14180
2004,New Mexico,0.604,0.59,0.539,775301,756304,1282767,1411419,0.074,6341,17725,2676
2004,New York,0.585,0.58,0.502,7448266,7391249,12738056,14598898,0.126,64596,0,54524
2004,North Carolina,0.587,0.578,0.539,3552449,3501007,6055771,6505150,0.053,34917,111537,2882
2004,North Dakota,0.655,0.648,0.638,316049,312833,482722,496479,0.013,1266,0,0
2004,Ohio,0.679,0.668,0.651,5722443,5627908,8427696,8624277,0.02,44770,0,0
2004,Oklahoma,,0.583,0.553,,1463758,2510823,2649994,0.034,24767,28435,4329
2004,Oregon,0.726,0.72,0.668,1851671,1836782,2550887,2736472,0.068,13219,0,0
2004,Pennsylvania,,0.626,0.606,,5769590,9221962,9554349,0.027,40692,0,0
2004,Rhode Island,0.589,0.585,0.529,440228,437134,747046,827513,0.076,3701,26085,368
2004,South Carolina,0.532,0.53,0.507,1626720,1617730,3055098,3198733,0.027,24173,38856,2217
2004,South Dakota,0.694,0.682,0.669,394930,388215,569161,576472,0.014,3101,0,0
2004,Tennessee,0.568,0.563,0.541,2456610,2437319,4328446,4496929,0.026,25834,47392,8410
2004,Texas,,0.537,0.454,,7410765,13796256,16284659,0.125,169110,428773,102072
2004,Utah,0.598,0.589,0.547,942010,927844,1574463,1664066,0.068,5802,0,0
2004,Vermont,0.667,0.663,0.65,314220,312309,470754,480053,0.021,0,0,0
2004,Virginia,0.611,0.606,0.562,3223156,3198367,5277156,5699175,0.062,35472,43470,4392
2004,Washington,0.675,0.669,0.608,2883499,2859084,4272914,4683829,0.074,16559,125222,120
2004,West Virginia,0.551,0.541,0.534,769645,755887,1396545,1425689,0.006,4980,6977,1216
2004,Wisconsin,0.753,0.748,0.716,3016288,2997007,4006948,4172068,0.027,22905,54970,13883
2004,Wyoming,0.663,0.657,0.637,245789,243428,370785,386796,0.017,1923,4418,563
2002,Alabama,,0.415,0.404,,1364602,3285643,3371451,0.018,28440,39713,5309
2002,Alaska,0.545,0.542,0.51,232852,231484,427337,457154,0.038,4431,5229,900
2002,Arizona,0.367,0.359,0.307,1255615,1226111,3419481,3998148,0.111,30741,66485,4587
2002,Arkansas,0.417,0.413,0.397,814176,805696,1951568,2031787,0.026,12378,27377,12128
2002,California,0.373,0.361,0.29,7738821,7476351,20733192,25622609,0.188,163361,0,113185
2002,Colorado,0.466,0.463,0.42,1424029,1416093,3056465,3362098,0.072,19085,0,6215
2002,Connecticut,0.451,0.423,0.389,1090756,1022942,2418037,2617814,0.071,20525,0,2186
2002,Delaware,,0.411,0.379,,232314,564938,612919,0.044,6879,20201,551
2002,District of Columbia,,0.301,0.271,,124228,412062,458631,0.1,0,0,0
2002,Florida,0.459,0.456,0.395,5143674,5100581,11194391,13005435,0.109,80352,291315,5223
2002,Georgia,,0.354,0.322,,2031604,5731983,6287215,0.065,47004,367349,20822
2002,Hawaii,0.442,0.438,0.402,385462,382110,872992,950520,0.08,5635,0,0
2002,Idaho,0.452,0.447,0.42,416533,411477,921256,970916,0.04,5825,31361,1961
2002,Illinois,0.428,0.414,0.377,3651808,3538883,8540965,9302571,0.089,43186,0,0
2002,Indiana,0.348,0.339,0.333,1562037,1521353,4494191,4587747,0.026,22576,0,0
2002,Iowa,0.487,0.479,0.457,1040201,1023075,2136683,2214936,0.025,8395,19970,2787
2002,Kansas,0.449,0.44,0.414,851966,835692,1897261,2007407,0.041,9009,15217,3990
2002,Kentucky,,0.372,0.364,,1131313,3044267,3100972,0.017,16377,24480,5968
2002,Louisiana,0.401,0.394,0.378,1267225,1246333,3163663,3312330,0.017,36091,36257,23049
